Date,Adj Close
02/01/2018,282.886383
03/01/2018,283.801239
04/01/2018,282.724396
05/01/2018,294.322296
08/01/2018,295.57074
09/01/2018,303.461517
10/01/2018,305.205505
11/01/2018,312.696014
12/01/2018,320.405701
16/01/2018,319.40509
17/01/2018,334.51004
18/01/2018,324.170074
19/01/2018,321.854309
22/01/2018,322.111572
23/01/2018,319.81485
24/01/2018,318.957184
25/01/2018,326.981415
26/01/2018,327.086212
29/01/2018,324.799042
30/01/2018,321.835236
31/01/2018,337.712097
01/02/2018,340.161285
02/02/2018,332.508728
05/02/2018,313.420319
06/02/2018,324.884796
07/02/2018,331.75589
08/02/2018,315.714478
09/02/2018,318.750305
12/02/2018,329.256226
13/02/2018,328.643341
14/02/2018,330.261841
15/02/2018,341.380798
16/02/2018,340.020813
20/02/2018,338.402313
21/02/2018,337.463745
22/02/2018,340.863586
23/02/2018,341.572296
26/02/2018,348.10376
27/02/2018,349.214691
28/02/2018,346.887451
01/03/2018,334.897125
02/03/2018,330.089508
05/03/2018,337.827637
06/03/2018,334.159698
07/03/2018,332.359222
08/03/2018,333.977753
09/03/2018,339.522827
12/03/2018,329.629822
13/03/2018,324.343292
14/03/2018,316.289063
15/03/2018,316.020935
16/03/2018,316.490173
19/03/2018,317.725616
20/03/2018,323.34729
21/03/2018,322.839722
22/03/2018,306.089539
23/03/2018,307.420776
26/03/2018,315.053619
27/03/2018,307.535736
28/03/2018,306.482208
29/03/2018,314.009766
02/04/2018,308.799866
03/04/2018,316.825409
04/04/2018,313.588379
05/04/2018,322.169312
06/04/2018,312.324219
09/04/2018,308.838165
10/04/2018,320.665741
11/04/2018,313.511749
12/04/2018,323.203644
13/04/2018,315.350525
16/04/2018,317.735168
17/04/2018,322.4758
18/04/2018,326.574768
19/04/2018,326.230011
20/04/2018,324.343292
23/04/2018,324.506104
24/04/2018,315.139801
25/04/2018,328.356018
26/04/2018,328.289032
27/04/2018,326.459808
30/04/2018,319.449463
01/05/2018,315.599548
02/05/2018,310.475861
03/05/2018,316.700867
04/05/2018,320.282654
07/05/2018,326.028839
08/05/2018,324.056
09/05/2018,329.926666
10/05/2018,331.158661
11/05/2018,329.60907
14/05/2018,331.659149
15/05/2018,329.28183
16/05/2018,328.174957
17/05/2018,331.225983
18/05/2018,338.049927
21/05/2018,350.263794
22/05/2018,341.697754
23/05/2018,345.730499
24/05/2018,345.528381
25/05/2018,346.577484
29/05/2018,339.253021
30/05/2018,344.748779
31/05/2018,338.945038
01/06/2018,343.333923
04/06/2018,347.193481
05/06/2018,346.587097
06/06/2018,357.617035
07/06/2018,354.700775
08/06/2018,355.634308
11/06/2018,357.020325
12/06/2018,356.712341
13/06/2018,350.196381
14/06/2018,348.820099
15/06/2018,344.450409
18/06/2018,341.428192
19/06/2018,328.319336
20/06/2018,329.830383
21/06/2018,324.989166
22/06/2018,326.192261
25/06/2018,318.771606
26/06/2018,318.867859
27/06/2018,317.44342
28/06/2018,322.092133
29/06/2018,322.91983
02/07/2018,323.468475
03/07/2018,320.436676
05/07/2018,320.677307
06/07/2018,322.082581
09/07/2018,329.089355
10/07/2018,334.132629
11/07/2018,327.818848
12/07/2018,333.045074
13/07/2018,337.626465
16/07/2018,342.737183
17/07/2018,343.487946
18/07/2018,346.71225
19/07/2018,341.996094
20/07/2018,341.582214
23/07/2018,340.013367
24/07/2018,344.825745
25/07/2018,342.563934
26/07/2018,345.836334
27/07/2018,347.116455
30/07/2018,337.886322
31/07/2018,342.929688
01/08/2018,339.522583
02/08/2018,336.606232
03/08/2018,335.364655
06/08/2018,333.564789
07/08/2018,337.597565
08/08/2018,334.729431
09/08/2018,332.456421
10/08/2018,328.287659
13/08/2018,327.272095
14/08/2018,328.026489
15/08/2018,320.888367
16/08/2018,334.642365
17/08/2018,335.048584
20/08/2018,339.246338
21/08/2018,342.177094
22/08/2018,338.559631
23/08/2018,336.093201
24/08/2018,337.930969
27/08/2018,342.148071
28/08/2018,339.700958
29/08/2018,338.714417
30/08/2018,335.532227
31/08/2018,331.556915
04/09/2018,334.903503
05/09/2018,335.319397
06/09/2018,339.759003
07/09/2018,337.834229
10/09/2018,330.657318
11/09/2018,333.936279
12/09/2018,341.828888
13/09/2018,343.811737
14/09/2018,348.00946
17/09/2018,344.295319
18/09/2018,351.665619
19/09/2018,353.251862
20/09/2018,355.418488
21/09/2018,360.032227
24/09/2018,355.931122
25/09/2018,355.196014
26/09/2018,353.068115
27/09/2018,355.350769
28/09/2018,359.712952
01/10/2018,369.762512
02/10/2018,373.708801
03/10/2018,379.444489
04/10/2018,377.210175
05/10/2018,373.805542
08/10/2018,373.128479
09/10/2018,372.809265
10/10/2018,355.428162
11/10/2018,346.374847
12/10/2018,348.309326
15/10/2018,347.11969
16/10/2018,356.182587
17/10/2018,353.522675
18/10/2018,347.574249
19/10/2018,344.58548
22/10/2018,344.314697
23/10/2018,338.578979
24/10/2018,343.028229
25/10/2018,351.849396
26/10/2018,347.496826
29/10/2018,324.592834
30/10/2018,338.443573
31/10/2018,343.231323
01/11/2018,351.172363
02/11/2018,346.026672
05/11/2018,350.118073
06/11/2018,354.460938
07/11/2018,359.829041
08/11/2018,360.27597
09/11/2018,358.886475
12/11/2018,346.924896
13/11/2018,339.617737
14/11/2018,334.963318
15/11/2018,331.902466
16/11/2018,326.441559
19/11/2018,311.856384
20/11/2018,308.708099
21/11/2018,308.338806
23/11/2018,303.480316
26/11/2018,307.406006
27/11/2018,309.028778
28/11/2018,324.060852
29/11/2018,332.864471
30/11/2018,336.945618
03/12/2018,349.771973
04/12/2018,332.806152
06/12/2018,322.506195
07/12/2018,314.071838
10/12/2018,317.113281
11/12/2018,312.915497
12/12/2018,317.443604
13/12/2018,316.258179
14/12/2018,309.728363
17/12/2018,307.182526
18/12/2018,318.774841
19/12/2018,310.505707
20/12/2018,304.189667
21/12/2018,295.930267
24/12/2018,285.83432
26/12/2018,305.044769
27/12/2018,308.16391
28/12/2018,307.425446
31/12/2018,313.372223
02/01/2019,314.645142
03/01/2019,302.100555
04/01/2019,317.822601
07/01/2019,318.823395
08/01/2019,330.891937
09/01/2019,334.09848
10/01/2019,342.630005
11/01/2019,342.911835
14/01/2019,340.443695
15/01/2019,342.270508
16/01/2019,342.095551
17/01/2019,348.926636
18/01/2019,354.407013
22/01/2019,347.770325
23/01/2019,348.460205
24/01/2019,348.129822
25/01/2019,353.891968
28/01/2019,352.696777
29/01/2019,354.581909
30/01/2019,376.746277
31/01/2019,374.705688
01/02/2019,376.464508
04/02/2019,385.763641
05/02/2019,398.570557
06/02/2019,399.474243
07/02/2019,395.680267
08/02/2019,395.426361
11/02/2019,394.488861
